date	title	duration_ms	episode_url
2020-10-26	Introduction to VIEW — Connection Course Series #1	2941000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/d52e39d7-ba91-4d52-beef-a11a0c77ef06/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=d52e39d7-ba91-4d52-beef-a11a0c77ef06&feed=zksImfUP
2020-11-04	Wonder — Connection Course Series #2	3160000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/f29a2dfd-c725-4fa7-a995-4333a850095d/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=f29a2dfd-c725-4fa7-a995-4333a850095d&feed=zksImfUP
2020-11-05	Impartiality — Connection Course Series #3	3084000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/1a51fff9-b5e7-4129-a3d5-102c50b6212e/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=1a51fff9-b5e7-4129-a3d5-102c50b6212e&feed=zksImfUP
2020-11-06	Empathy — Connection Course Series #4	3112000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/fd511f99-8261-4341-8ded-da99feee918a/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=fd511f99-8261-4341-8ded-da99feee918a&feed=zksImfUP
2020-11-10	Vulnerability — Connection Course Series #5	2855000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/2f8d9ff9-68b7-46ca-a4db-d720b8c081bd/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=2f8d9ff9-68b7-46ca-a4db-d720b8c081bd&feed=zksImfUP
2020-12-11	Integrating a Transformative Experience	2536000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/409bb2cb-faa7-4466-9ce7-e0b5f58c9bc1/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=409bb2cb-faa7-4466-9ce7-e0b5f58c9bc1&feed=zksImfUP
2021-01-20	If You Can't Love the Feeling, Love the Resistance	2916000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/8f90c019-bf9f-46a3-93f7-2de734877580/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=8f90c019-bf9f-46a3-93f7-2de734877580&feed=zksImfUP
2021-02-13	The Art of Accomplishment — Master Class Series #1	2826000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/26b598e1-8a78-4111-83b2-0833639f374f/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=26b598e1-8a78-4111-83b2-0833639f374f&feed=zksImfUP
2021-02-13	Embarking on the Journey — Master Class Series #2	2900000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/5a171f45-8a46-492b-b222-220b575eb502/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=5a171f45-8a46-492b-b222-220b575eb502&feed=zksImfUP
2021-02-13	Connection over Perfection — Master Class Series #3	3034000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/4aba3fad-f9c6-4fa1-9637-13b8a26b2906/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=4aba3fad-f9c6-4fa1-9637-13b8a26b2906&feed=zksImfUP
2021-02-13	Enjoy over Manage — Master Class Series #4	2740000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/2f688a04-2223-4ba1-b658-4b3bf2adafc4/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=2f688a04-2223-4ba1-b658-4b3bf2adafc4&feed=zksImfUP
2021-03-05	Feel over Figure — Master Class Series #5	2784000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/93a5cf5c-3c19-410e-80ef-48d8175ced36/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=93a5cf5c-3c19-410e-80ef-48d8175ced36&feed=zksImfUP
2021-03-15	Want over Should — Master Class Series #6	2478000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/bb1e02c3-e676-4a14-a3f7-74862c93e6de/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=bb1e02c3-e676-4a14-a3f7-74862c93e6de&feed=zksImfUP
2021-03-19	Authenticity over Improvement — Master Class Series #7	2980000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/dab8656d-1731-48ab-bc15-18cf65139ed7/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=dab8656d-1731-48ab-bc15-18cf65139ed7&feed=zksImfUP
2021-03-26	Empower over Power — Master Class Series #8	2867000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/8c8c8de5-a376-4c55-b8fa-cc46ef81d205/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=8c8c8de5-a376-4c55-b8fa-cc46ef81d205&feed=zksImfUP
2021-04-09	Love over Defense — Master Class Series #9	2856000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/cab8b5b7-2d84-456e-bdef-eac4ab870d85/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=cab8b5b7-2d84-456e-bdef-eac4ab870d85&feed=zksImfUP
2021-04-23	Money Can't Save You	1603000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/91b04d0e-0fc1-4a7c-b0aa-62b257d5e4ac/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=91b04d0e-0fc1-4a7c-b0aa-62b257d5e4ac&feed=zksImfUP
2021-05-07	Money Can't Oppress You	1644000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/3a634cdd-cc45-46ae-9e21-c4bf1036499c/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=3a634cdd-cc45-46ae-9e21-c4bf1036499c&feed=zksImfUP
2021-05-21	Father Figures and Authority (Coaching Session)	1524000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/2a4cab41-6ca7-4656-a1f6-943809c052ef/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=2a4cab41-6ca7-4656-a1f6-943809c052ef&feed=zksImfUP
2021-06-04	The Business Behind our Courses	1724000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/29d5e24c-4512-4a61-8142-7a24995cb79d/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=29d5e24c-4512-4a61-8142-7a24995cb79d&feed=zksImfUP
2021-06-18	Care over Caretaking - Loving without Losing Yourself	2537000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/fb06c8cc-3610-4849-944c-f70c27adfc09/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=fb06c8cc-3610-4849-944c-f70c27adfc09&feed=zksImfUP
2021-07-02	Allowing Yourself to Change (Joe Coaches Brett)	2492000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/c75ffcd1-f4df-44e4-bb23-0a537f1fa4f3/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=c75ffcd1-f4df-44e4-bb23-0a537f1fa4f3&feed=zksImfUP
2021-07-16	Who is the Voice in Your Head?	2479000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/0dade605-9011-4783-926f-c690b64f98b0/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=0dade605-9011-4783-926f-c690b64f98b0&feed=zksImfUP
2021-07-30	Your World is a Projection	2264000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/2cae8d82-d135-4397-a159-ac8c54cff828/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=2cae8d82-d135-4397-a159-ac8c54cff828&feed=zksImfUP
2021-08-13	Seeing Through Family Dynamics	1639000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/41d16dd3-25bf-45d4-80c2-e22c670c10d1/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=41d16dd3-25bf-45d4-80c2-e22c670c10d1&feed=zksImfUP
2021-08-27	Group Cohesion vs. Cult Dynamics	1402000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/b06f62c7-ab55-4ceb-8dfd-cce0380f10f3/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=b06f62c7-ab55-4ceb-8dfd-cce0380f10f3&feed=zksImfUP
2021-09-10	Brett Kistler — Welcoming Fear in Extreme Sports, Business and Relationships	2309000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/90ef22dd-d37d-4953-b6b6-1aee0ac4fc35/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=90ef22dd-d37d-4953-b6b6-1aee0ac4fc35&feed=zksImfUP
2021-09-24	Stages of Emotional Development - Emotion Series #1	1794000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/b01d4abf-c053-4be3-ac89-59b0e8e6d74d/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=b01d4abf-c053-4be3-ac89-59b0e8e6d74d&feed=zksImfUP
2021-10-08	Embracing Intensity - Emotion Series #2	1433000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/6a73778f-81e9-4b91-b48c-657825a67f86/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=6a73778f-81e9-4b91-b48c-657825a67f86&feed=zksImfUP
2021-10-15	Ant Taylor on Embracing Emotions	2634000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/d0368d22-8927-43b8-aa1f-45e2f16d65d6/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=d0368d22-8927-43b8-aa1f-45e2f16d65d6&feed=zksImfUP
2021-10-22	The Wisdom of Anger: Part I - Emotion Series #3	1723000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/7b55d02c-8079-4b20-9f9d-612e908e24dd/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=7b55d02c-8079-4b20-9f9d-612e908e24dd&feed=zksImfUP
2021-10-29	The Wisdom of Anger: Part II - Emotion Series #4	2199000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/0aaf94bc-6299-4178-9909-fade686e4dd1/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=0aaf94bc-6299-4178-9909-fade686e4dd1&feed=zksImfUP
2021-11-12	Stacy Brown-Philpot on Reclaiming Abandonment	2192000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/3ecfb5d6-062c-48ce-84e8-ff21d1978f35/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=3ecfb5d6-062c-48ce-84e8-ff21d1978f35&feed=zksImfUP
2021-11-19	What is Selfishness?	1519000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/bda2aecd-1aa7-4462-bafa-97d9d0f6520b/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=bda2aecd-1aa7-4462-bafa-97d9d0f6520b&feed=zksImfUP
2021-12-03	Carla Piñeyro Sublett on Finding Compassion in Self-Indulgence	2367000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/18a2b6a7-8e43-418b-8e25-da6c4baa8119/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=18a2b6a7-8e43-418b-8e25-da6c4baa8119&feed=zksImfUP
2021-12-10	Fear: A Path to Authenticity - Emotion Series #5	2181000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/4c843774-73ca-4f81-9f6d-4b5717a651e0/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=4c843774-73ca-4f81-9f6d-4b5717a651e0&feed=zksImfUP
2021-12-17	Healing Shame by Being Ourselves (Coaching Session)	2296000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/e627c667-9c15-42dd-a910-429319bf07fd/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=e627c667-9c15-42dd-a910-429319bf07fd&feed=zksImfUP
2022-01-07	How Your Body Speaks	2498000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/a43bfa33-819d-414d-9d94-b5f8cd560f8b/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=a43bfa33-819d-414d-9d94-b5f8cd560f8b&feed=zksImfUP
2022-01-15	Sam Altman — Leading with Crippling Anxiety, Discovering Meditation, and Building Intelligence with Self-Awareness	2386000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/44e7be84-97e0-4b0d-bd9c-999ddfbbb0de/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=44e7be84-97e0-4b0d-bd9c-999ddfbbb0de&feed=zksImfUP
2022-01-21	Anxiety: A Signpost to Unmet Needs - Emotion Series #6	2147000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/f0f96bed-02e3-4651-aba3-a2f17ac07ba0/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=f0f96bed-02e3-4651-aba3-a2f17ac07ba0&feed=zksImfUP
2022-01-28	Jaime Waydo — Taking Care of Yourself First, Fearlessly Owning Your Desires, Speaking Your Truth and Designing Systems to Support You	2210000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/52564b66-2b25-4d14-96f0-0b92b1ca2dba/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=52564b66-2b25-4d14-96f0-0b92b1ca2dba&feed=zksImfUP
2022-02-04	The Power Dynamics of Fear - Emotion Series #7	2011000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/3ca6c1bf-b862-4a8c-8df4-67a2cb52b16d/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=3ca6c1bf-b862-4a8c-8df4-67a2cb52b16d&feed=zksImfUP
2022-02-11	Heather Falenski — Navigating Conflict Zones, Recovering from Chronic Illness, and Being Your Own Light	2254000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/1c9b6b10-4068-45c0-8947-697c83634573/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=1c9b6b10-4068-45c0-8947-697c83634573&feed=zksImfUP
2022-02-19	Building a Functional Team - Team Series #1	2248000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/1820fbdb-e86e-41c3-9dd3-fed0bf2cd26e/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=1820fbdb-e86e-41c3-9dd3-fed0bf2cd26e&feed=zksImfUP
2022-03-04	Building a Dysfunctional Team - Team Series #2	1973000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/bf00b99d-0e34-475e-bc70-9a396f65e6e5/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=bf00b99d-0e34-475e-bc70-9a396f65e6e5&feed=zksImfUP
2022-03-11	How Does Gratitude Create Better Teams?	671000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/9fce3200-9bfb-48a9-9ee0-885c37d62d5b/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=9fce3200-9bfb-48a9-9ee0-885c37d62d5b&feed=zksImfUP
2022-03-18	What's So Scary About Boundaries?	3480000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/749b6baf-3dfe-4d34-a6e1-09b1b15ee80e/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=749b6baf-3dfe-4d34-a6e1-09b1b15ee80e&feed=zksImfUP
2022-04-01	Limiting Beliefs: The Hidden Rails That Guide Our Lives	2174000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/35c3a55c-342d-4135-ae54-06b9756c3d5c/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=35c3a55c-342d-4135-ae54-06b9756c3d5c&feed=zksImfUP
2022-04-15	Joe Sanok — Living on the Road, Opening to Heartbreak and Parenting as a Single Dad	2289000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/408725fa-8d13-421e-8107-010587bfc87d/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=408725fa-8d13-421e-8107-010587bfc87d&feed=zksImfUP
2022-04-29	Connection: A State Beyond States	2522000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/e0e2d973-bf44-4fd7-b7d5-668bd51cdab1/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=e0e2d973-bf44-4fd7-b7d5-668bd51cdab1&feed=zksImfUP
2022-05-05	How to Tell if the Master Class Isn’t For You (Bonus Episode)	1367000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/301df53d-b904-4d17-9827-1d392dadb96b/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=301df53d-b904-4d17-9827-1d392dadb96b&feed=zksImfUP
2022-05-13	Will Chesney — Reintegrating as a Combat Veteran, Surviving a Traumatic Brain Injury and Transcending an Old Identity	2599000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/95ccb668-9b69-4991-819d-f3b8721cecbb/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=95ccb668-9b69-4991-819d-f3b8721cecbb&feed=zksImfUP
2022-05-27	When the Story Falls Apart: How Beliefs and Emotions Interact	2096000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/3020f597-d557-464c-bb00-588344e53d2c/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=3020f597-d557-464c-bb00-588344e53d2c&feed=zksImfUP
2022-06-10	Emile DeWeaver — Life After Murder: On Fear, Freedom, and Identity	2930000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/1078c066-426b-47ac-ab6a-dc6e4c6457fd/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=1078c066-426b-47ac-ab6a-dc6e4c6457fd&feed=zksImfUP
2022-06-24	The Upright Apology: Accountability Without Shame	2041000	https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/a552afe6-d7f8-4e49-88c8-8433d851faae/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=a552afe6-d7f8-4e49-88c8-8433d851faae&feed=zksImfUP
